training.days,subject,item,testing.stimuli,response
day1,sub3,8,untrained,1
day1,sub3,14,untrained,1
day1,sub3,41,untrained,0
day1,sub3,24,untrained,1
day1,sub3,18,untrained,1
day1,sub3,31,trained,1
day1,sub3,30,untrained,1
day1,sub4,39,untrained,0
day1,sub4,19,trained,1
day1,sub4,42,untrained,0
day1,sub4,5,trained,1
day1,sub4,4,untrained,1
day1,sub4,10,trained,1
day1,sub4,31,trained,1
day1,sub4,1,untrained,1
day1,sub4,24,untrained,1
day1,sub4,38,untrained,0
day1,sub4,2,trained,1
day1,sub4,36,untrained,0
day1,sub4,43,untrained,0
day1,sub4,7,untrained,1
day1,sub4,23,untrained,1
day1,sub4,26,trained,1
day1,sub4,18,untrained,1
day1,sub4,11,untrained,1
day1,sub4,13,untrained,1
day1,sub4,12,untrained,1
day1,sub4,20,trained,1
day1,sub4,46,untrained,0
day1,sub4,45,untrained,0
day1,sub4,47,untrained,0
day1,sub4,35,untrained,0
day1,sub4,30,untrained,1
day1,sub4,41,untrained,0
day1,sub4,37,untrained,0
day1,sub4,28,trained,1
day1,sub4,40,untrained,0
day1,sub4,16,trained,1
day1,sub4,44,untrained,0
day1,sub4,29,untrained,1
day1,sub4,3,trained,1
day1,sub4,14,untrained,1
day1,sub4,21,trained,1
day1,sub4,33,untrained,0
day1,sub4,15,trained,1
day1,sub4,17,untrained,
day1,sub4,25,trained,0
day1,sub4,9,trained,1
day1,sub4,22,untrained,1
day1,sub4,32,trained,1
day1,sub4,34,untrained,0
day1,sub4,27,untrained,1
day1,sub4,6,trained,1
day1,sub4,48,untrained,0
day1,sub4,8,untrained,1
day1,sub4,11,untrained,0
day1,sub4,6,trained,1
day1,sub4,44,untrained,0
day1,sub4,31,trained,1
day1,sub4,13,untrained,1
day1,sub4,15,trained,1
day1,sub4,21,trained,1
day1,sub4,7,untrained,1
day1,sub4,45,untrained,0
day1,sub4,12,untrained,0
day1,sub4,32,trained,1
day1,sub4,18,untrained,1
day1,sub4,37,untrained,0
day1,sub4,5,trained,1
day1,sub4,33,untrained,0
day1,sub4,26,trained,1
day1,sub4,46,untrained,0
day1,sub4,30,untrained,1
day1,sub4,43,untrained,0
day1,sub4,14,untrained,1
day1,sub4,35,untrained,0
day1,sub4,25,trained,1
day1,sub4,29,untrained,1
day1,sub4,16,trained,1
day1,sub4,42,untrained,0
day1,sub4,27,untrained,1
day1,sub4,24,untrained,1
day1,sub4,22,untrained,1
day1,sub4,34,untrained,0
day1,sub4,20,trained,1
day1,sub4,23,untrained,1
day1,sub4,47,untrained,0
day1,sub4,48,untrained,0
day1,sub4,19,trained,1
day1,sub4,36,untrained,0
day1,sub4,28,trained,1
day1,sub4,9,trained,1
day1,sub4,8,untrained,1
day1,sub4,3,trained,1
day1,sub4,10,trained,1
day1,sub4,2,trained,1
day1,sub4,39,untrained,0
day1,sub4,41,untrained,0
day1,sub4,1,untrained,
day1,sub4,38,untrained,0
day1,sub4,17,untrained,0
day1,sub4,4,untrained,1
day1,sub4,40,untrained,0
day1,sub5,13,untrained,1
day1,sub5,22,untrained,1
day1,sub5,10,trained,1
day1,sub5,20,trained,1
day1,sub5,17,untrained,1
day1,sub5,43,untrained,0
day1,sub5,42,untrained,0
day1,sub5,35,untrained,0
day1,sub5,28,trained,1
day1,sub5,26,trained,1
day1,sub5,23,untrained,1
day1,sub5,25,trained,1
day1,sub5,36,untrained,0
day1,sub5,18,untrained,1
day1,sub5,5,trained,1
day1,sub5,16,trained,1
day1,sub5,39,untrained,0
day1,sub5,3,trained,1
day1,sub5,12,untrained,1
day1,sub5,45,untrained,0
day1,sub5,6,trained,1
day1,sub5,44,untrained,0
day1,sub5,33,untrained,0
day1,sub5,7,untrained,1
day1,sub5,24,untrained,1
day1,sub5,37,untrained,0
day1,sub5,41,untrained,0
day1,sub5,2,trained,1
day1,sub5,14,untrained,1
day1,sub5,47,untrained,0
day1,sub5,40,untrained,0
day1,sub5,11,untrained,1
day1,sub5,29,untrained,1
day1,sub5,15,trained,1
day1,sub5,27,untrained,1
day1,sub5,1,untrained,1
day1,sub5,9,trained,1
day1,sub5,4,untrained,1
day1,sub5,30,untrained,1
day1,sub5,48,untrained,0
day1,sub5,38,untrained,0
day1,sub5,8,untrained,1
day1,sub5,21,trained,1
day1,sub5,19,trained,1
day1,sub5,31,trained,1
day1,sub5,32,trained,1
day1,sub5,46,untrained,0
day1,sub5,34,untrained,0
day1,sub5,38,untrained,0
day1,sub5,43,untrained,0
day1,sub5,7,untrained,1
day1,sub5,31,trained,1
day1,sub5,46,untrained,0
day1,sub5,25,trained,1
day1,sub5,10,trained,1
day1,sub5,22,untrained,1
day1,sub5,33,untrained,0
day1,sub5,1,untrained,1
day1,sub5,26,trained,1
day1,sub5,20,trained,1
day1,sub5,41,untrained,0
day1,sub5,30,untrained,1
day1,sub5,27,untrained,1
day1,sub5,21,trained,1
day1,sub5,2,trained,1
day1,sub5,5,trained,1
day1,sub5,28,trained,1
day1,sub5,47,untrained,0
day1,sub5,12,untrained,1
day1,sub5,13,untrained,1
day1,sub5,18,untrained,1
day1,sub5,44,untrained,0
day1,sub5,39,untrained,0
day1,sub5,8,untrained,1
day1,sub5,4,untrained,1
day1,sub5,37,untrained,0
day1,sub5,6,trained,1
day1,sub5,9,trained,1
day1,sub5,3,trained,1
day1,sub5,42,untrained,0
day1,sub5,36,untrained,0
day1,sub5,32,trained,1
day1,sub5,34,untrained,0
day1,sub5,24,untrained,1
day1,sub5,48,untrained,0
